X,Y,Label
433843.11,2661416.25,1
431700.35,2662751.93,1
422935.39,2658106.14,1
423355.93,2658039.29,1
424065.61,2659225.79,1
421916.16,2661307.3,1
428123.53,2656212.22,1
427491.31,2657448.74,1
427391.63,2657289.31,1
427354.84,2657277.2,1
422755.19,2659783.35,1
423094.34,2659298.64,1
423439.11,2659856.57,1
423002.52,2659557.49,1
422900.35,2659465.77,1
425850.35,2654784.41,1
425904.91,2654953.29,1
425577.66,2655050.33,1
424717.02,2655799.14,1
424918.92,2655508.97,1
424904.69,2655490.59,1
425223.71,2655442.78,1
425637.85,2657934.98,1
425290.95,2655334.79,1
425290.95,2655334.79,1
427086.97,2650712.09,1
403117.73,2665051.92,1
403526.07,2664892.28,1
403464.68,2665000.35,1
403450.46,2664985.07,1
403500.41,2664855.55,1
403500.41,2664855.55,1
403500.41,2664855.55,1
403500.41,2664855.55,1
403500.41,2664855.55,1
403500.41,2664855.55,1
423204.86,2648397.94,1
425437.04,2653003.31,1
424285.91,2648846.16,1
423807.17,2650675.62,1
411271.8825,2643551.689,1
410701.7704,2660963.885,1
411322.5226,2660867.783,1
411324.2406,2661144.591,1
411336.6539,2663143.815,1
411336.6539,2663143.815,1
411336.6539,2663143.815,1
411336.6539,2663143.815,1
413426.221,2663130.989,1
412469.9419,2663751.913,1
401771.1942,2664282.96,1
398694.2489,2664427.499,1
402142.9114,2660835.464,1
398768.3828,2654953.239,1
405334.617,2660844.634,1
405330.7463,2660260.341,1
405726.1776,2660257.727,1
405717.8614,2658996.688,1
407101.9398,2658987.629,1
407451.8287,2656309.388,1
408384.3734,2656334.172,1
408412.3492,2656303.211,1
409885.3759,2656909.065,1
415074.1086,2757521.12,1
414989.6164,2757460.072,1
415745.4095,2757209.348,1
410922.4869,2761792.476,1
398596.1386,2658553.216,1
398652.5783,2658552.816,1
399064.6177,2656888.937,1
400764.211,2657523.053,1
401018.461,2657521.292,1
413505.1091,2757807.77,1
413505.1091,2757807.77,1
413841.7484,2757805.652,1
413056.3909,2757810.605,1
408468.3085,2656210.617,1
408305.386,2652828.264,1
425105.3267,2650085.608,1
407959.5729,2656183.096,1
432130.541,2791850.112,1
432133.3543,2791853.174,1
432073.3581,2791588.683,1
424946.9785,2648915.054,1
431110.9413,2645103.22,1
433404.7473,2637765.721,1
386896.0586,2660118.82,0
377182.9888,2715271.052,0
390178.7632,2662385.912,0
372654.2885,2613665.07,0
402032.547,2619197.712,0
413174.9039,2731983.923,0
436756.7641,2638900.789,0
385163.0107,2700536.358,0
439528.2343,2735510.083,0
373234.5435,2636585.136,0
398881.9029,2615820.388,0
377957.1541,2736593.778,0
442681.261,2641721.815,0
433136.4169,2761169.74,0
403167.0746,2786562.499,0
378399.1647,2651595.433,0
385155.9041,2757499.75,0
444240.0743,2620795.99,0
381750.6192,2633286.464,0
434399.3876,2774462.127,0
415313.8772,2667477.832,0
446621.7385,2693185.674,0
406602.217,2632998.804,0
410236.0179,2668120.633,0
430369.0579,2684647.519,0
419647.8103,2616306.213,0
378870.7132,2722937.934,0
433295.7153,2702699.266,0
411717.2329,2779400.398,0
397382.079,2621753.359,0
376492.8687,2616801.479,0
375278.5345,2755817.925,0
427676.774,2606318.158,0
407850.3577,2637244.757,0
416358.44,2675127.5,0
412269.1775,2622615.438,0
431900.725,2770632.845,0
373848.4734,2616457.267,0
391630.6562,2628162.458,0
402400.6389,2765834.632,0
382575.6903,2625228.928,0
428242.006,2635772.335,0
442858.209,2664826.512,0
445535.0705,2619091.507,0
392621.191,2780023.937,0
424913.7871,2679447.623,0
448477.4464,2752730.263,0
376036.3729,2611433.261,0
373955.6195,2634944.61,0
423990.979,2723199.691,0
382705.0401,2755897.406,0
402689.0216,2723017.478,0
387257.4047,2755345.17,0
431353.4054,2623888.069,0
406705.1496,2773953.767,0
381247.8157,2605345.039,0
444411.4882,2731767.408,0
375128.12,2688368.021,0
404045.3548,2606807.525,0
413760.3714,2722573.234,0
425750.499,2675100.479,0
444786.3053,2688475.379,0
435149.2239,2754053.455,0
441118.5991,2712115.019,0
390683.2852,2697758.864,0
400289.2562,2634828.901,0
388448.3161,2700792.216,0
404409.7767,2604207.101,0
424794.752,2697657.277,0
442055.7229,2710606.296,0
391297.8514,2652897.013,0
400902.9889,2768137.731,0
378689.8125,2676535.948,0
378663.735,2688354.313,0
387755.5414,2700495.81,0
381171.8673,2652609.683,0
448489.8979,2777988.535,0
381582.403,2678076.14,0
401152.5065,2789166.787,0
396400.5214,2690195.214,0
444282.5804,2690788.622,0
425009.6115,2735728.088,0
376351.124,2733998.423,0
431655.7686,2755573.469,0
437435.5534,2601112.912,0
391338.7762,2745755.409,0
